B7_MAMÁ_CONSERVADOR_1CONFORMIDAD,B16_MAMÁ_CONSERVADOR_2CONFORMIDAD,B28_MAMÁ_CONSERVADOR_3CONFORMIDAD,B36_MAMÁ_CONSERVADOR_4CONFORMIDAD,B9_MAMÁ_CONSERVADOR_1TRADICION,B20_MAMÁ_CONSERVADOR_2TRADICION,B25_MAMÁ_CONSERVADOR_3TRADICION,B38_MAMÁ_CONSERVADOR_4TRADICION,B5_MAMÁ_CONSERVADOR_1SEGURIDAD,B14_MAMÁ_CONSERVADOR_2SEGURIDAD,B21_MAMÁ_CONSERVADOR_3SEGURIDAD,B31_MAMÁ_CONSERVADOR_4SEGURIDAD,B35_MAMÁ_CONSERVADOR_5SEGURIDAD,B12_MAMÁ_AUTOTRASCENDENCIA_1BENEVOLENCIA,B18_MAMÁ_AUTOTRASCENDENCIA_2BENEVOLENCIA,B27_MAMÁ_AUTOTRASCENDENCIA_3BENEVOLENCIA,B33_MAMÁ_AUTOTRASCENDENCIA_4BENEVOLENCIA,B3_MAMÁ_AUTOTRASCENDENCIA_1UNIVERSALISMO,B8_MAMÁ_AUTOTRASCENDENCIA_2UNIVERSALISMO,B19_MAMÁ_AUTOTRASCENDENCIA_3UNIVERSALISMO,B23_MAMÁ_AUTOTRASCENDENCIA_4UNIVERSALISMO,B29_MAMÁ_AUTOTRASCENDENCIA_5UNVIERSALISMO,B40_MAMÁ_AUTOTRASCENDENCIA_6UNIVERSALISMO,B1_MAMÁ_APERTURA_AL_CAMBIO_1AUTODIRECCION,B11_MAMÁ_APERTURA_AL_CAMBIO_2AUTODIRECCION,B22_MAMÁ_APERTURA_AL_CAMBIO_3AUTODIRECCION,B34_MAMÁ_APERTURA_AL_CAMBIO_4AUTODIRECCION,B6_MAMÁ_APERTURA_AL_CAMBIO_1ESTIMULACION,B15_MAMÁ_APERTURA_AL_CAMBIO_2ESTIMULACION,B30_MAMÁ_APERTURA_AL_CAMBIO_3ESTIMULACION,B4_MAMÁ_SUPERACION_1LOGRO,B13_MAMÁ_SUPERACION_2LOGRO,B24_MAMÁ_SUPERACION_3LOGRO,B32_MAMÁ_SUPERACION_4LOGRO,B2_MAMÁ_SUPERACION_1PODER,B17_MAMÁ_SUPERACION_2PODER,B39_MAMÁ_SUPERACION_3PODER,B49_MAMÁ_PPASS_1_AS_1ELECCION,B52_MAMÁ_PPASS_4_AS_2ELECCION,B56_MAMÁ_PPASS_8_AS_3ELECCION,B62_MAMÁ_PPASS_14_AS_4ELECCION,B50_MAMÁ_PPASS_2_AS_1EXPLICACION,B57_MAMÁ_PPASS_9_AS_2EXPLICACION,B67_MAMÁ_PPASS_19_AS_3EXPLICACION,B71_MAMÁ_PPASS_23_AS_4EXPLICACION,B55_MAMÁ_PPASS_7_AS_1EMPATIA,B61_MAMÁ_PPASS_13_AS_2EMPATIA,B64_MAMÁ_PPASS_16_AS_3EMPATIA,B72_MAMÁ_PPASS_24_AS_4EMPATIA,B51_MAMÁ_PPASS_3_PC_1CASTIGO,B58_MAMÁ_PPASS_10_PC_2CASTIGO,B63_MAMÁ_PPASS_15_PC_3CASTIGO,B68_MAMÁ_PPASS_20_PC_4CASTIGO,B53_MAMÁ_PPASS_5_PC_1PRESION,B59_MAMÁ_PPASS_11_PC_2PRESION,B65_MAMÁ_PPASS_17_PC_3PRESION,B70_MAMÁ_PPASS_22_PC_4PRESION,B54_MAMÁ_PPASS_6_PC_1CULPAR,B60_MAMÁ_PPASS_12_PC_2CULPAR,B66_MAMÁ_PPASS_18_PC_3CULPAR,B69_MAMÁ_PPASS_21_PC_4CULPAR,ICAST_2MAMA,ICAST_5MAMA,ICAST_12MAMA,ICAST_13MAMA,ICAST_14MAMA,ICAST_17MAMA,ICAST_18MAMA,ICAST_19MAMA,ICAST_21MAMA,ICAST_24MAMA,ICAST_25MAMA,ICAST_26MAMA,ICAST_27MAMA,ICAST_32MAMA,ICAST_33MAMA,ICAST_43MAMA,ICAST_45MAMA,ICAST_47MAMA,ICAST_48MAMA,YSR_5,YSR_14,YSR_30,YSR_32,YSR_33,YSR_35,YSR_42,YSR_47,YSR_51,YSR_52,YSR_54,YSR_56B,YSR_56C,YSR_56D,YSR_56E,YSR_56F,YSR_65,YSR_69,YSR_91,YSR_103,YSR_111,YSR_2,YSR_3,YSR_16,YSR_20,YSR_21,YSR_28,YSR_57,YSR_67,YSR_82,YSR_94,YSR_96,YSR_97,YSR_99,YSR_104,YSR_105,SEXO_F1Y2,EDAD_F1Y2,NSE,EST_FAM,EDAD_MAMA,ESC_MAMA,EDAD_PAPA,ESCOL_PAPA,HOMBRE,MUJER,Lat_Conservador,Lat_Apertura,Lat_Trascedencia,Lat_Superacion,Lat_Autonomía,Lat_Control,Lat_Psicologico,Lat_Fisico,Lat_Negligencia,Lat_Ineriorizados,Lat_Exteriorizados
1,2,2,1,3,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,12,6,4,98,7,98,7, ,1,-2.4,-2.081,-2.591,-1.369,-1.907,-.449,.824,.462,-.326,-.545,-.344
4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,1,1,4,1,4,4,4,4,2,1,4,4,4,4,4,1,1,1,1,1,1,4,4,1,1,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,2,2,2,0,2,1,2,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,13,5,1,32,6,36,7, ,1,1.222,1.926,.957,-.187,.786,-.358,-.503,1.24,-.326,1.257,-.474
4,4,4,4,4,4,1,3,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,1,1,2,3,1,1,1,2,4,4,4,3,3,3,3,4,3,4,4,1,1,1,1,1,3,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,5,1,49,3,98,1, ,1,1.05,.675,1.249,-.837,.388,-.637,-.503,-.407,-.326,-.51,-1.333
4,2,4,4,1,4,2,4,4,4,4,4,4,3,3,2,4,1,1,1,4,1,3,4,4,4,4,4,3,4,1,4,3,4,4,2,3,4,4,4,4,4,1,4,4,4,4,4,4,1,1,4,1,1,4,4,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,2,0,0,1,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,1,12,4,1,98,3,98,3,1, ,.961,1.716,-1.032,1.251,1.422,.213,-.503,-.407,-.326,.72,.638
1,2,1,1,1,2,3,1,1,2,1,3,1,2,2,3,1,1,1,2,3,3,1,1,2,3,1,1,2,1,1,2,3,1,1,2,1,2,1,3,3,1,3,1,1,2,3,3,1,1,3,3,1,1,3,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,5,1,39,8,38,8,1, ,-2.525,-1.67,-1.099,-.448,-1.225,.26,-.503,-.407,-.326,-.377,-1.333
1,4,1,1,4,4,1,1,4,4,1,1,1,4,4,1,1,4,4,4,1,4,1,1,1,1,1,4,4,4,4,4,1,1,1,4,1,1,1,1,2,1,1,1,4,1,2,2,4,1,1,2,1,1,1,1,4,1,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,2,2,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,4,1,30,3,36,8, ,1,-1.997,-.522,-.238,.552,-1.355,.011,.298,-.407,-.326,1.108,-.579
3,4,4,4,4,1,1,4,4,1,4,2,3,4,4,4,4,4,4,4,4,3,1,1,4,4,4,1,1,1,1,3,3,1,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,1,4,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,6,1,31,4,34,3, ,1,.188,-.976,.775,-.077,1.856,-.454,-.503,-.407,-.326,-.932,-.865
4,4,4,4,4,1,1,1,4,1,4,4,3,4,4,4,4,4,4,4,4,3,1,3,4,4,4,4,1,1,1,3,2,1,1,3,1,3,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,1,4,4,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,4,4,35,3,98,8, ,1,.314,.34,.775,-.143,1.616,-.177,-.503,-.407,-.326,-.801,-1.333
4,4,3,4,4,3,4,3,4,4,4,3,3,4,3,3,4,4,1,2,4,4,3,2,4,3,3,3,1,3,1,3,1,1,1,4,1,3,3,2,4,3,3,1,4,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,12,3,1,40,2,57,2, ,1,.28,-.205,.181,-.391,.205,-1.756,.124,-.407,-.326,-.005,-.344
1,1,4,4,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,2,4,4,4,4,4,1,4,3,1,1,4,1,1,4,2,2,4,4,4,4,4,2,4,2,4,4,1,4,2,1,4,1,4,4,1,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,3,1,32,3,32,3, ,1,.498,1.407,.008,-.086,.306,.651,.206,-.407,-.326,-1.265,-1.333
2,4,4,4,4,4,1,1,4,3,4,4,2,4,4,1,3,4,4,4,4,4,1,4,4,4,4,4,1,4,1,1,1,4,3,2,2,3,4,4,4,3,4,2,4,4,4,4,3,3,1,1,1,4,4,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,1,0,0,0,0,0,2,0,2,13,4,2,35,4,36,7, ,1,.284,1.407,.413,-.278,.666,.002,-.503,-.407,1.174,-1.108,1.09
4,4,3,1,4,4,3,2,4,2,1,2,3,2,1,4,2,2,3,4,4,2,1,1,4,2,3,2,2,2,2,1,3,1,4,3,3,1,2,2,3,2,4,3,4,4,3,2,3,3,4,4,4,3,3,4,4,4,4,3,3,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,2,1,1,1,1,1,1,2,0,0,0,0,0,1,1,1,1,0,0,2,2,0,0,2,0,0,1,1,1,0,1,1,0,1,13,7,1,98,3,98,3,1, ,-.815,-.805,-.652,.159,-.405,1.891,1.286,1.717,.388,1.025,1.548
3,3,4,4,4,1,2,3,4,3,4,4,3,2,4,1,4,3,1,2,2,2,2,3,4,4,3,3,1,4,3,4,1,4,4,1,4,3,4,4,3,3,2,4,3,4,4,4,2,2,1,1,1,2,3,4,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,13,5,1,39,4,35,3, ,1,.319,.38,-1.246,1.267,.276,-.212,.206,.786,-.326,-.414,.123
1,2,3,3,3,2,1,4,4,2,3,4,2,3,1,2,3,4,1,2,2,2,1,3,2,2,3,3,1,3,1,2,1,3,3,1,2,2,3,3,2,2,2,2,2,4,4,4,2,3,1,2,2,1,4,3,2,1,1,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,13,4,1,40,3,38,2, ,1,-.753,-.381,-1.155,-.191,-.43,.039,.97,.674,-.326,-.018,.003
2,2,2,1,3,3,1,1,3,2,1,1,4,2,2,1,3,4,1,4,1,4,2,1,2,3,1,2,3,2,1,4,4,1,2,4,2,1,3,2,2,3,2,1,3,2,2,2,1,2,2,2,3,2,2,1,3,2,2,3,1,0,0,0,2,0,0,0,3,4,0,0,2,0,4,0,3,0,0,0,1,2,0,1,2,1,1,1,0,0,1,1,0,0,0,0,2,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,2,14,2,4,35,8,35,3, ,1,-1.705,-.988,-.946,.713,-1.15,.66,.708,1.974,.405,.863,.967
1,3,4,4,4,1,1,4,4,1,4,4,4,4,1,4,2,4,4,1,4,1,4,1,1,4,4,1,1,2,1,1,1,4,1,1,4,4,1,4,1,4,4,4,4,4,1,1,1,2,1,1,4,1,1,4,4,1,1,4,4,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,0,1,2,2,0,2,0,1,2,2,0,2,0,2,1,2,0,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,2,13,5,2,29,4,31,4, ,1,.434,-1.011,-.142,-.603,-.611,.737,1.329,.72,1.476,1.887,.418
4,2,4,3,2,2,2,3,3,2,4,4,3,3,2,3,4,3,3,3,3,3,2,3,3,3,3,3,2,3,1,2,1,3,2,1,1,1,1,3,2,2,2,3,2,3,4,2,2,1,1,1,1,2,3,4,3,3,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,14,2,3,40,3,36,3,1, ,-.315,-.017,-.394,-.401,-.921,.333,1.107,.842,-.326,1.022,.995
3,2,4,4,4,1,2,2,4,3,4,3,2,4,3,4,2,4,4,3,2,4,2,4,4,2,2,3,2,2,2,3,1,3,3,3,3,2,3,2,4,4,4,2,3,4,4,2,4,1,1,1,1,4,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,15,3,1,30,3,40,3,1, ,-.176,-.193,.162,.564,-.021,-.559,-.503,.581,-.326,-.002,1.256
2,4,4,4,3,2,2,4,3,2,3,3,2,4,3,4,2,4,1,4,4,4,3,3,1,3,2,4,3,4,1,1,1,2,1,1,2,3,2,3,2,2,2,1,2,2,2,3,1,1,1,1,1,2,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,14,5,1,36,3,37,3,1, ,-.317,.295,.617,-1.099,-1.11,-1.089,-.503,.425,-.326,-.326,.218
4,4,3,4,4,4,4,4,4,1,4,3,3,4,3,3,4,3,4,3,4,4,4,4,3,4,3,3,1,3,3,3,4,3,1,3,3,3,3,1,1,4,2,4,4,4,3,4,3,4,4,4,4,4,1,3,3,2,1,3,4,1,1,0,1,0,1,1,0,0,3,2,0,0,3,2,2,0,0,1,2,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,14,2,1,98,1,98,2,1, ,.167,.246,.417,.759,.002,1.522,1.616,1.921,1.251,.231,1
1,4,2,2,4,1,2,4,2,2,4,2,1,3,2,2,1,3,1,2,2,2,1,4,4,3,2,1,3,1,2,1,1,1,2,4,2,3,2,3,3,2,2,2,2,4,4,2,2,3,3,3,4,1,1,3,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,2,1,98,4,98,3,1, ,-1.207,-.62,-1.293,-.394,-.66,.617,-.503,-.407,-.326,.926,-.865
2,4,3,4,2,4,4,1,4,4,3,3,1,4,1,4,3,3,4,2,1,3,1,4,4,4,1,1,1,2,2,4,1,4,2,1,1,1,1,3,3,4,4,4,3,4,4,3,2,4,1,2,4,4,2,4,4,1,3,4,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,0,2,2,0,2,1,0,1,2,0,0,0,0,0,1,0,0,2,0,0,2,2,2,2,2,1,0,0,2,1,0,0,0,0,1,13,7,1,35,4,35,4,1, ,-.637,-.464,-.53,.465,-.197,1.355,.605,1.306,-.326,1.011,1.874
2,4,4,3,1,3,3,4,4,2,4,4,4,3,3,4,4,2,2,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,3,3,2,3,4,4,3,2,3,3,2,3,2,4,4,3,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2,0,1,0,0,1,0,2,1,1,1,1,0,2,0,0,0,0,0,2,2,0,0,1,1,0,0,1,13,5,2,98,6,98,4,1, ,.296,1.926,-.093,2.22,-.188,1.831,-.503,-.407,-.326,.585,.954
3,3,2,3,2,2,3,1,3,3,1,2,1,4,2,3,3,2,3,3,1,3,3,3,2,2,3,2,2,2,4,1,4,1,1,4,3,2,1,3,2,3,2,3,2,2,4,2,2,2,4,3,2,3,3,1,2,1,2,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,3,1,41,4,40,6,1, ,-1.485,-.675,-.458,.225,-.927,.845,.465,-.407,-.326,-.253,-.415
3,4,4,4,3,3,3,2,4,1,2,4,3,2,2,3,3,3,4,4,4,4,4,4,3,4,4,1,1,4,4,4,1,4,4,1,3,1,4,3,2,2,2,1,3,3,2,4,3,2,4,4,3,3,3,4,4,3,2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,14,7,1,38,8,39,6,1, ,-.088,.48,.066,1.364,-.523,1.188,1.062,-.407,-.326,-.784,.014
3,2,3,2,3,1,1,3,3,2,3,3,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,1,2,1,1,2,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,14,4,2,48,3,98,8, ,1,-1.083,-.21,-1.262,.109,-1.102,.347,.811,.981,-.326,.12,.238
4,3,4,4,2,1,1,2,4,2,4,3,3,3,2,4,4,4,1,2,4,3,3,4,2,4,4,4,1,4,1,1,1,3,1,4,3,2,4,3,3,4,3,4,4,4,4,4,3,4,3,3,4,4,4,3,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,14,4,2,38,4,98,4, ,1,-.167,1.074,-.126,-.486,.499,.975,-.503,-.407,-.326,.493,-.319
1,2,1,2,2,1,1,4,2,1,4,4,1,3,2,2,1,1,2,2,1,1,1,1,1,3,4,2,1,4,2,1,1,2,1,2,4,3,3,4,2,4,3,1,2,4,2,3,1,1,1,3,1,3,1,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,13,4,1,32,3,35,3, ,1,-1.651,-.545,-1.65,-.402,-.586,-.364,-.503,-.407,-.326, , 
3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,4,3,3,4,4,1,2,2,2,1,3,3,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,13,5,2,32,4,98,3, ,1,-1.509,-.675,-1.075,.207,-.608,.058,-.503,-.407,1.004,-.131,-.344
3,2,3,4,4,1,1,3,3,1,4,1,1,2,1,3,3,4,2,1,2,4,1,1,2,3,3,2,1,2,3,2,1,2,4,1,1,1,1,2,2,1,3,2,1,1,1,1,1,4,3,1,4,2,1,2,1,3,3,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,1,1,1,2,1,1,0,0,1,1,0,1,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,2,14,2,1,32,3,34,2, ,1,-.961,-.958,-.93,-.055,-2.061,1.049,.636,.425,1.295,1.367,.354
4,3,4,4,1,3,1,4,1,4,4,4,4,4,4,4,3,2,3,4,4,3,3,2,1,3,4,2,1,3,4,4,1,4,4,1,4,2,4,4,3,3,3,2,3,4,3,3,3,4,2,4,3,3,4,4,3,1,1,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,6,1,38,6,38,6, ,1,.598,-.538,.432,1.577,-.115,1.033,.298,1.018,.804,.563,-.865
2,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,4,2,3,3,2,2,3,2,2,2,2,2,3,4,3,3,1,3,3,3,2,1,1,1,1,2,1,3,3,1,2,1,2,1,1,1,2,1,1,3,3,1,1,2,2,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,2,2,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,14,6,1,32,5,39,6,1, ,-.668,-.631,-.56,.606,-1.603,.119,.963,.543,-.326,.615,1.458
1,2,1,1,1,1,1,1,2,1,3,3,1,2,1,1,3,4,1,1,1,1,1,1,3,1,3,1,4,1,1,2,1,1,1,1,1,1,4,2,3,2,3,3,2,3,4,4,3,2,2,2,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,2,3,33,4,34,4,1, ,-2.385,-1.59,-2.059,-.956,-.289,-.33,-.503,-.407,-.326,-.944,-.344
1,1,4,4,4,1,1,4,4,1,4,4,1,3,4,4,1,4,4,4,4,4,1,3,4,3,4,3,3,4,1,1,1,1,1,1,4,4,4,4,1,4,4,1,4,4,4,4,1,4,4,1,1,4,4,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,14,2,1,36,3,42,4, ,1,-.249,.588,.485,-1.187,.463,.136,-.503,-.407,-.326, , 
3,3,4,3,3,3,3,4,4,3,4,4,3,4,4,3,3,4,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,3,2,4,4,3,4,3,3,4,3,3,4,3,3,4,3,4,3,3,3,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,7,1,35,3,42,3,1, ,.162,1.118,-.011,1.318,.106,1.402,-.503,-.407,-.326,-.308,-.579
2,1,1,2,3,2,2,3,2,2,2,2,3,2,2,1,2,3,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,3,2,3,3,2,2,3,3,3,3,3,3,3,3,2,1,2,2,2,1,3,2,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,14,4,1,45,8,45,3, ,1,-1.598,-1.532,-1.964,-.307,-.432,.115,-.503,.425,-.326,-.386,.123
2,4,4,4,2,1,1,1,4,2,4,4,3,3,2,3,3,4,1,2,4,3,2,4,2,4,4,4,1,2,3,2,1,4,3,1,1,2,3,4,4,4,3,4,4,4,4,4,4,2,2,3,2,1,4,3,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,6,1,98,4,98,8,1, ,-.025,.485,-.475,.194,.933,.513,-.503,-.407,-.326,-.38,-1.333
3,3,4,4,4,2,1,4,4,2,4,4,2,2,3,4,4,4,2,4,3,4,4,3,2,3,3,3,2,2,2,2,1,2,1,1,1,2,2,2,2,3,2,4,4,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,5,1,37,2,34,3, ,1,.251,-.295,.362,-.483,-.671,-1.756,.206,-.407,-.326,.515,-.865
4,4,4,4,4,1,2,1,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,2,1,4,4,1,1,1,1,1,1,1,1,2,1,4,4,3,4,3,4,4,1,4,4,4,4,1,1,1,1,1,4,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,5,1,45,6,45,6,1, ,1.126,-1.142,.6,-1.389,.737,-.949,-.503,-.407,-.326,-.214,-.865
